Country,Confirmed,PredictedConfirmed,Ratio
Pakistan,551842,678576.36,1.229656967030418
Panama,324489,486784.73,1.5001578790036025
Paraguay,136023,185635.57,1.3647366254236417
Peru,1158337,1374109.94,1.186278207464667
Philippines,531699,629253.8,1.183477493845202
Poland,1533511,1969226.76,1.2841295302087823
Portugal,748858,1299831.35,1.7357514375222005
Qatar,152898,166907.14,1.0916240892621225
Romania,738152,929457.02,1.2591675156336364
Russia,3874830,5221436.8,1.3475266785897704
Rwanda,15988,27957.94,1.7486827620715535
Saudi Arabia,369248,379087.07,1.0266462377589045
Senegal,27733,41509.28,1.49674683589947
Serbia,402700,516952.66,1.2837165631984107
Singapore,59624,61393.51,1.0296778143029652
Slovakia,256903,397611.22,1.5477095246065635
Slovenia,171340,261334.14,1.5252371892144276
South Africa,1466767,2331109.25,1.589283948984399
Spain,2913425,4497117.11,1.5435843071299244
Sri Lanka,67115,105785.07,1.5761762646204278
Sudan,29577,37748.92,1.2762930655576967
Sweden,584674,868623.95,1.4856551685212613
Switzerland,530289,685154.19,1.2920392276664232
Syria,14267,19484.95,1.3657356136538867
Tajikistan,13308,13373.41,1.0049150886684701
Thailand,22058,39547.41,1.7928828542932271
Tunisia,213949,355492.18,1.661574393897611
Turkey,2508988,3054878.08,1.2175738106360015
US,26676957,38921900.05,1.459008238833237
Uganda,39735,49043.07,1.2342536806342015
Ukraine,1275334,1623264.62,1.2728152938759574
United Arab Emirates,316875,493510.96,1.5574310374753453
United Kingdom,3903706,6739819.76,1.7265182777596468
Uruguay,43804,88466.67,2.0196025477125374
Uzbekistan,78916,82149.69,1.0409763546048965
Venezuela,128775,154303.58,1.1982417394680644
West Bank and Gaza,161087,203413.56,1.2627559020901749
Zambia,59003,117859.59,1.9975186007491144
Zimbabwe,34171,73272.17,2.144279359690966
