Country,Deaths,PredictedDeaths,Ratio
Afghanistan,2407,2636.97,1.0955421686746987
Albania,1418,1594.91,1.1247602256699578
Algeria,2904,3039.78,1.0467561983471074
Argentina,48700,53295.52,1.0943638603696098
Armenia,3107,3379.88,1.0878274863212103
Austria,7936,9497.95,1.196818296370968
Azerbaijan,3148,3753.46,1.1923316391359593
Bangladesh,8175,8758.16,1.0713345565749235
Belarus,1755,2039.78,1.1622678062678062
Belgium,21260,22871.45,1.0757972718720603
Bolivia,10633,11415.18,1.0735615536537195
Bosnia and Herzegovina,4745,5395.18,1.1370242360379348
Brazil,228795,257441.9,1.1252077187001464
Bulgaria,9272,10876.99,1.173100733390854
Burma,3163,3637.88,1.1501359468858678
Canada,20486,24705.69,1.205979205310944
Chile,18731,20395.45,1.088860712188351
China,4822,4857.66,1.0073952716715056
Colombia,55131,65476.13,1.1876463332789173
Costa Rica,2662,3113.42,1.1695792637114952
Croatia,5106,6290.91,1.2320622796709753
Czechia,16826,21462.77,1.2755717342208488
Denmark,2185,3062.3,1.4015102974828375
Dominican Republic,2747,2850.34,1.037619220968329
Ecuador,14968,15273.47,1.0204082041688936
Egypt,9512,11159.86,1.173240117746005
El Salvador,1653,1940.12,1.173696309739867
Ethiopia,2126,2291.58,1.0778833490122295
France,77741,88987.07,1.1446607324320501
Georgia,3240,3928.88,1.2126172839506173
Germany,60634,84134.76,1.3875838638387703
Greece,5903,6916.35,1.1716669490089786
Guatemala,5785,6536.04,1.1298254105445116
Honduras,3669,4106.1,1.1191332788225676
Hungary,12832,15837.77,1.234240180798005
India,154823,160547.44,1.0369740929965185
Indonesia,31001,38488.14,1.2415128544240508
Iran,58256,61010.13,1.047276332051634
Iraq,13091,13311.96,1.0168787716751966
Ireland,3586,4290.06,1.1963357501394312
Israel,5001,6326.03,1.2649530093981203
Italy,90241,104597.5,1.1590906572400572
Japan,6172,8300.86,1.3449222294232017
Jordan,4354,4840.0,1.1116214974735874
Kazakhstan,3119,3360.47,1.0774190445655658
Kenya,1773,1857.0,1.0473773265651438
"Korea, South",1459,2044.53,1.4013228238519533
Kosovo,1514,1674.67,1.10612285336856
Kyrgyzstan,1420,1512.58,1.0651971830985916
Latvia,1281,1853.82,1.4471662763466042
Lebanon,3397,4199.65,1.23628201354136
Libya,1919,2281.43,1.188863991662324
Lithuania,2885,4016.37,1.392155979202773
Mexico,161240,193363.96,1.1992307119821384
Moldova,3497,3965.58,1.1339948527309123
Morocco,8351,9277.8,1.1109807208717517
Nepal,2033,2220.07,1.0920167240531236
Netherlands,14346,17014.41,1.1860037641154328
Nigeria,1632,1918.16,1.175343137254902
North Macedonia,2900,3255.18,1.1224758620689654
Oman,1532,1558.56,1.01733681462141
Pakistan,11886,13363.56,1.1243109540636043
Panama,5391,6680.56,1.2392060842144315
Paraguay,2779,3235.21,1.1641633681180281
Peru,41538,43697.37,1.0519854109490105
Philippines,10997,12221.45,1.1113440029098847
Poland,38344,46948.4,1.2244001669100772
Portugal,13482,17159.93,1.2728029965880434
Romania,18675,21290.01,1.1400273092369477
Russia,74005,89401.8,1.20805080737788
Saudi Arabia,6389,6551.58,1.025446861793708
Serbia,4085,4969.61,1.2165507955936352
Slovakia,4976,7390.02,1.4851326366559487
Slovenia,3580,4408.86,1.2315251396648044
South Africa,45605,61300.2,1.3441552461352921
Spain,60802,66905.76,1.1003874872537087
Sudan,1831,2006.02,1.095587110868378
Sweden,12028,14998.79,1.2469895244429665
Switzerland,9556,11476.18,1.2009397237337798
Tunisia,7048,8956.56,1.270794551645857
Turkey,26467,31784.84,1.2009234140627951
US,455738,548228.34,1.202946298092325
Ukraine,24429,29042.51,1.188853821277989
United Kingdom,110462,141612.46,1.282001593308106
Venezuela,1216,1363.08,1.120953947368421
West Bank and Gaza,1865,2376.38,1.2741983914209116
Zimbabwe,1288,1992.44,1.5469254658385094
