Country,Deaths,PredictedDeaths,Ratio
Afghanistan,2407,2843.12,1.1811882010801829
Albania,1418,1784.22,1.258265162200282
Algeria,2904,3169.46,1.0914118457300275
Argentina,48700,57909.22,1.1891010266940452
Armenia,3107,3627.78,1.1676150627615063
Austria,7936,11004.34,1.3866355846774194
Azerbaijan,3148,4253.41,1.3511467598475222
Bangladesh,8175,9311.56,1.13902874617737
Belarus,1755,2324.89,1.3247236467236467
Belgium,21260,24373.31,1.1464397930385701
Bolivia,10633,12590.95,1.184139001222609
Bosnia and Herzegovina,4745,6005.72,1.2656944151738674
Brazil,228795,286012.02,1.250079853143644
Bulgaria,9272,12401.0,1.3374676445211389
Burma,3163,4081.86,1.2905026873221626
Canada,20486,28862.77,1.4089021770965537
Chile,18731,22153.4,1.182713149324649
China,4822,4893.04,1.0147324761509746
Colombia,55131,75897.18,1.3766697502312673
Costa Rica,2662,3557.11,1.3362546957175057
Croatia,5106,7369.48,1.443298080689385
Czechia,16826,26027.73,1.5468756686081064
Denmark,2185,3882.1,1.7767048054919907
Dominican Republic,2747,3049.32,1.1100546050236622
Ecuador,14968,16114.2,1.076576696953501
Egypt,9512,12787.72,1.3443776282590412
El Salvador,1653,2222.5,1.3445251058681185
Ethiopia,2126,2459.39,1.156815616180621
France,77741,100259.39,1.2896591245288844
Georgia,3240,4575.8,1.412283950617284
Germany,60634,107437.3,1.7718986047432135
Greece,5903,7864.7,1.3323225478570218
Guatemala,5785,7332.86,1.2675643906655143
Honduras,3669,4554.79,1.2414254565276641
Hungary,12832,18697.36,1.4570885286783042
India,154823,165717.56,1.0703678394037062
Indonesia,31001,46124.04,1.487824263733428
Iran,58256,63671.09,1.0929533438615764
Iraq,13091,13541.36,1.0344022610954091
Ireland,3586,5233.29,1.4593669827105409
Israel,5001,7733.24,1.5463387322535493
Italy,90241,118619.87,1.3144786737735619
Japan,6172,10633.27,1.7228240440699936
Jordan,4354,5294.38,1.2159807073954985
Kazakhstan,3119,3654.95,1.1718339211285669
Kenya,1773,1940.03,1.0942075578116186
"Korea, South",1459,2559.46,1.754256339958876
Kosovo,1514,1830.03,1.2087384412153237
Kyrgyzstan,1420,1610.72,1.1343098591549297
Latvia,1281,2414.46,1.884824355971897
Lebanon,3397,5445.41,1.6030055931704446
Libya,1919,2666.11,1.389322563835331
Lithuania,2885,5034.65,1.745112651646447
Mexico,161240,224469.36,1.3921443810468865
Moldova,3497,4410.42,1.2612010294538176
Morocco,8351,10138.96,1.2141013052329062
Nepal,2033,2389.01,1.1751155927201182
Netherlands,14346,19522.49,1.3608315906872996
Nigeria,1632,2208.96,1.3535294117647059
North Macedonia,2900,3605.6,1.2433103448275862
Oman,1532,1594.95,1.0410900783289818
Pakistan,11886,14814.9,1.2464159515396265
Panama,5391,7910.62,1.4673752550547208
Paraguay,2779,3689.99,1.3278121626484347
Peru,41538,46388.88,1.1167817420193558
Philippines,10997,13652.05,1.241434027462035
Poland,38344,55288.92,1.4419184226997706
Portugal,13482,21892.75,1.623850318943777
Romania,18675,23824.48,1.2757419009370816
Russia,74005,104631.59,1.4138448753462602
Saudi Arabia,6389,6698.97,1.0485161997182657
Serbia,4085,5771.59,1.412873929008568
Slovakia,4976,9807.37,1.9709344855305468
Slovenia,3580,5187.35,1.4489804469273744
South Africa,45605,76508.24,1.677628330226949
Spain,60802,74549.43,1.2261016084997203
Sudan,1831,2271.38,1.2405133806663027
Sweden,12028,17927.0,1.4904389757233123
Switzerland,9556,13244.94,1.3860339053997488
Tunisia,7048,10957.98,1.5547644721906924
Turkey,26467,36788.87,1.3899901764461406
US,455738,640718.38,1.405891937911695
Ukraine,24429,33514.18,1.3719014286299072
United Kingdom,110462,173403.34,1.5698008364867555
Venezuela,1216,1520.4,1.2503289473684212
West Bank and Gaza,1865,2821.31,1.5127667560321716
Zimbabwe,1288,2749.25,2.1345108695652173
