Country,Confirmed,PredictedConfirmed,Ratio
Afghanistan,55231,59056.02,1.0692549474027266
Albania,81993,98922.36,1.2064732355201053
Algeria,108381,115988.38,1.0701910851533019
Andorra,10137,11998.76,1.1836598599191082
Angola,19996,22325.77,1.116511802360472
Argentina,1961635,2265438.29,1.1548724864717443
Armenia,167568,176106.23,1.050953821732073
Australia,28842,29283.97,1.0153238332986616
Austria,419801,475132.28,1.131803592654615
Azerbaijan,230769,244067.15,1.057625374292041
Bahrain,105496,114449.31,1.0848687154015317
Bangladesh,537030,559509.44,1.0418588160810383
Belarus,253413,306342.62,1.2088670273427171
Belgium,718847,777999.39,1.0822878721063036
Belize,12008,13329.86,1.1100816122584944
Bolivia,224234,277409.57,1.2371432075421211
Bosnia and Herzegovina,122828,133706.59,1.0885676718663497
Botswana,23503,29231.34,1.243728034718972
Brazil,9396293,10898535.0,1.1598760277058198
Bulgaria,222149,239719.55,1.0790935363202174
Burkina Faso,11053,15001.76,1.3572568533429838
Burma,141104,157336.71,1.1150407500850437
Cabo Verde,14290,16376.38,1.146002799160252
Cameroon,30313,33326.64,1.09941741167156
Canada,798394,1013953.71,1.2699916457288005
Chile,740237,851718.17,1.1506019963876435
China,100268,104317.26,1.0403843698886983
Colombia,2135412,2586162.51,1.211083626953487
Congo (Kinshasa),23222,28550.82,1.2294729136163982
Costa Rica,195992,223179.65,1.1387181619657945
Cote d'Ivoire,29102,34377.78,1.1812858222802556
Croatia,234153,258470.33,1.103852310241594
Cuba,30345,40578.31,1.3372321634536166
Cyprus,31379,42648.25,1.3591334969246949
Czechia,1013352,1293979.7,1.2769301289186779
Denmark,201020,242469.15,1.206194159785096
Dominican Republic,218948,259956.51,1.1872979428905495
Ecuador,253339,289292.89,1.141920075471996
Egypt,168057,198780.11,1.182813628709307
El Salvador,55821,64466.88,1.1548857956682967
Estonia,46334,62418.89,1.3471509043035352
Eswatini,16045,22661.58,1.4123764412589592
Ethiopia,140157,152156.97,1.0856180568933411
Finland,46493,54878.19,1.1803538167035899
France,3310071,3857165.6,1.1652818323232341
Gabon,11129,12019.01,1.0799721448467967
Georgia,260480,292938.23,1.124609298218673
Germany,2265536,2778680.79,1.2265003910774315
Ghana,69255,75262.49,1.0867444949823117
Greece,160935,178099.57,1.1066552956162425
Guatemala,161665,183055.21,1.13231194136022
Guinea,14629,15360.55,1.0500068357372343
Haiti,11692,13068.16,1.1177009921313719
Honduras,152225,175775.5,1.1547084907209721
Hungary,371988,417856.47,1.1233063163327848
India,10802591,11285180.71,1.044673514900268
Indonesia,1123105,1430300.49,1.2735233927370995
Iran,1445326,1630988.17,1.128456950196703
Iraq,624222,647671.23,1.0375655295712103
Ireland,200744,314129.14,1.5648245526640896
Israel,675618,891721.22,1.3198600688554774
Italy,2597446,3042584.25,1.1713753625676915
Jamaica,16250,18675.88,1.149284923076923
Japan,399492,562584.44,1.4082495769627426
Jordan,331768,363978.23,1.0970866087145232
Kazakhstan,240983,272596.34,1.1311849383566477
Kenya,101339,105789.74,1.0439193203011674
"Korea, South",80131,98380.23,1.2277424467434574
Kosovo,61404,69292.4,1.128467200833822
Kuwait,168250,181200.24,1.076970222882615
Kyrgyzstan,84920,88626.8,1.043650494583137
Latvia,69400,95440.61,1.3752249279538904
Lebanon,312269,434554.76,1.3916039056070248
Libya,122013,138255.17,1.1331183562407285
Lithuania,184948,231792.4,1.2532841663602743
Luxembourg,51330,55375.7,1.07881745567894
Madagascar,19065,20152.5,1.0570416994492526
Malawi,25884,38132.02,1.4731888425282027
Malaysia,231483,314119.61,1.3569878133599442
Maldives,16410,17910.07,1.0914119439366239
Malta,18385,23345.53,1.2698139787870546
Mauritania,16740,19520.55,1.1661021505376343
Mexico,1886245,2324748.92,1.232474530084904
Moldova,162624,177575.13,1.0919367989964581
Montenegro,63633,76315.71,1.1993102635425017
Morocco,473667,508355.19,1.0732332841426573
Mozambique,42488,56375.99,1.326868527584259
Namibia,34519,46008.88,1.33285668762131
Nepal,271602,283221.92,1.0427828955604155
