Country,Confirmed,PredictedConfirmed,Ratio
Netherlands,1007268,1199924.51,1.1912663859072263
Nigeria,136030,177879.26,1.307647283687422
North Macedonia,93882,103307.2,1.1003941117573124
Norway,64212,79252.39,1.234230206191989
Oman,135041,139450.37,1.032652083441325
Pakistan,551842,616537.25,1.1172350962775577
Panama,324489,411261.49,1.2674127320186508
Paraguay,136023,160963.34,1.1833538445704035
Peru,1158337,1256873.75,1.0850674285635356
Philippines,531699,579626.79,1.090140831560714
Poland,1533511,1760161.35,1.1477983203250581
Portugal,748858,1017540.44,1.358789570252304
Qatar,152898,159643.45,1.0441173200434277
Romania,738152,837801.12,1.1349981033716632
Russia,3874830,4560913.03,1.1770614530185841
Rwanda,15988,21703.45,1.3574837378033526
Saudi Arabia,369248,373940.23,1.0127075298986046
Senegal,27733,34425.27,1.241310712869145
Serbia,402700,461102.69,1.145027787434815
Singapore,59624,60552.18,1.0155672212531865
Slovakia,256903,329691.46,1.2833305177440513
Slovenia,171340,218000.88,1.2723291700712034
South Africa,1466767,1931448.18,1.3168064048345782
Spain,2913425,3665673.48,1.2582007362468572
Sri Lanka,67115,85818.85,1.2786836027713626
Sudan,29577,33855.16,1.1446448253710655
Sweden,584674,733633.55,1.2547736858488663
Switzerland,530289,610768.47,1.1517653015619784
Syria,14267,16943.71,1.1876154762739188
Tajikistan,13308,13343.4,1.0026600541027952
Thailand,22058,29525.69,1.3385479191223137
Tunisia,213949,286667.35,1.3398863747902536
Turkey,2508988,2806332.51,1.118511730626053
US,26676957,33004696.8,1.2371987104826088
Uganda,39735,44786.83,1.1271380395117654
Ukraine,1275334,1456049.21,1.1417002996861998
United Arab Emirates,316875,402557.84,1.2703994950690336
United Kingdom,3903706,5410228.49,1.3859210939553337
Uruguay,43804,66471.97,1.5174863026207652
Uzbekistan,78916,80544.34,1.0206338385118354
Venezuela,128775,141227.21,1.0966974179770919
West Bank and Gaza,161087,183139.76,1.136899687746373
Zambia,59003,87079.95,1.4758563123908954
Zimbabwe,34171,54730.92,1.6016774457873635
